Trip ID,Start Station,Start Time,End Station,End Time,Duration
382410,Front St & Beck St,6/24/19 16:48,Lucas St & Town St,6/24/19 16:55,6m 28s
382465,Lucas St & Town St,6/25/19 8:07,Front St & Beck St,6/25/19 8:14,6m 52s
383502,Lane Ave at Olentangy Trail,6/29/19 10:13,North Bank Park,6/29/19 10:51,37m 23s
383523,North Bank Park,6/29/19 10:51,Lucas St & Town St,6/29/19 11:05,14m 11s
383638,Lucas St & Town St,6/29/19 14:48,Kilbourne St & Vine St,6/29/19 15:03,15m 41s
383717,Kilbourne St & Vine St,6/29/19 17:44,Lucas St & Town St,6/29/19 18:03,18m 32s
383860,Summit St & 17th Ave,6/29/19 22:05,Lucas St & Town St,6/29/19 22:33,27m 19s
368596,Lucas St & Town St,5/1/19 18:12,High St & Warren,5/1/19 18:27,15m 10s
368619,High St & Warren,5/1/19 20:39,Lucas St & Town St,5/1/19 20:53,13m 37s
368701,Lucas St & Town St,5/2/19 16:31,High St & Spring St,5/2/19 16:42,10m 37s
368737,High St & Spring St,5/2/19 19:19,Lucas St & Town St,5/2/19 19:28,9m 24s
369636,Front St & Beck St,5/7/19 16:54,Lucas St & Town St,5/7/19 17:00,6m 20s
369757,Lucas St & Town St,5/8/19 8:02,Front St & Beck St,5/8/19 8:09,6m 38s
369760,Front St & Beck St,5/8/19 8:20,Lucas St & Town St,5/8/19 8:26,5m 58s
369811,Front St & Beck St,5/8/19 16:52,Lucas St & Town St,5/8/19 16:58,6m 17s
369862,Lucas St & Town St,5/8/19 18:41,Summit St & 17th Ave,5/8/19 19:07,25m 48s
369920,Summit St & 17th Ave,5/8/19 21:54,Lucas St & Town St,5/8/19 22:14,19m 27s
369942,Lucas St & Town St,5/9/19 8:04,Front St & Beck St,5/9/19 8:10,6m 17s
370374,Lucas St & Town St,5/11/19 15:46,Scioto Audubon Center,5/11/19 16:12,26m 10s
370421,Scioto Audubon Center,5/11/19 16:47,Lucas St & Town St,5/11/19 17:04,17m 7s
370841,Front St & Beck St,5/14/19 16:39,Lucas St & Town St,5/14/19 16:46,6m 7s
370952,Lucas St & Town St,5/15/19 8:03,Front St & Beck St,5/15/19 8:09,6m 5s
372244,Lucas St & Town St,5/19/19 9:21,3rd St & Sycamore St,5/19/19 9:32,11m 16s
372313,3rd St & Sycamore St,5/19/19 11:05,Lucas St & Town St,5/19/19 11:14,8m 36s
372600,Front St & Beck St,5/20/19 16:42,Lucas St & Town St,5/20/19 16:48,6m 1s
372678,Lucas St & Town St,5/21/19 8:09,Front St & Beck St,5/21/19 8:15,6m 20s
373425,Lucas St & Town St,5/24/19 18:33,Neil Ave & Nationwide Blvd,5/24/19 18:41,8m 17s
373432,Neil Ave & Nationwide Blvd,5/24/19 18:56,Lucas St & Town St,5/24/19 19:07,11m 39s
373655,Lucas St & Town St,5/25/19 13:23,Nationwide Arena - Front St,5/25/19 13:41,18m 10s
373727,North Market,5/25/19 15:25,Lucas St & Town St,5/25/19 15:46,20m 39s
373882,Lucas St & Town St,5/25/19 19:01,Neil Ave & Nationwide Blvd,5/25/19 19:12,10m 36s
373949,Neil Ave & Nationwide Blvd,5/25/19 22:21,Lucas St & Town St,5/25/19 22:33,11m 16s
374065,Lucas St & Town St,5/26/19 10:47,Schiller Park - Stewart Ave,5/26/19 11:06,19m 2s
374111,Schiller Park - Stewart Ave,5/26/19 12:16,Lucas St & Town St,5/26/19 12:35,18m 25s
374792,Lucas St & Town St,5/27/19 14:10,Topiary Park - Town St,5/27/19 14:25,14m 54s
374817,Topiary Park - Town St,5/27/19 14:26,Topiary Park - Town St,5/27/19 14:26,0m 28s
374819,Topiary Park - Town St,5/27/19 14:26,Lucas St & Town St,5/27/19 14:36,9m 34s
375120,Front St & Beck St,5/28/19 17:05,Front St & Beck St,5/28/19 17:06,0m 50s
375122,Front St & Beck St,5/28/19 17:06,Lucas St & Town St,5/28/19 17:12,6m 27s
375217,Lucas St & Town St,5/29/19 8:13,Front St & Beck St,5/29/19 8:19,6m 7s
363665,Front St & Beck St,4/3/19 16:28,Lucas St & Town St,4/3/19 16:34,6m 17s
363759,Lucas St & Town St,4/4/19 7:49,Front St & Beck St,4/4/19 7:55,6m 14s
